typing_speed,typos,sleep_hours,screen_hours,expression,user_type,stress_level
49,0,3.0,9.5,sad,casual,85.0
91,2,8.5,15.8,sad,gamer,78.0
80,10,1.6,9.9,sad,student,100.0
50,3,4.6,7.7,disgust,professional,59.5
58,12,9.9,2.8,disgust,gamer,63.0
80,8,1.6,12.4,neutral,gamer,67.0
64,4,1.8,5.8,No face detected,student,66.0
79,8,6.9,13.0,disgust,student,82.0
86,15,10.7,0.9,fear,student,100.0
84,9,5.9,8.8,No face detected,student,73.5
21,3,9.7,14.3,sad,casual,74.5
108,4,5.7,15.0,sad,casual,96.0
92,12,6.7,0.8,surprise,casual,48.0
96,14,10.0,2.1,fear,student,100.0
87,13,9.2,16.0,angry,casual,100.0
87,12,2.7,11.0,angry,gamer,93.0
94,6,9.3,2.7,sad,professional,69.0
63,6,3.3,1.7,No face detected,professional,44.0
45,8,4.9,14.2,surprise,professional,57.0
72,7,2.8,10.5,happy,gamer,50.5
38,7,3.8,2.6,No face detected,casual,45.5
91,7,3.0,12.0,surprise,casual,85.5
33,10,7.3,11.0,No face detected,casual,55.0
60,6,9.9,6.0,fear,gamer,64.0
118,0,8.0,3.6,neutral,casual,45.0
29,1,9.0,8.1,sad,gamer,76.5
26,0,10.5,9.4,fear,gamer,100.0
112,11,9.0,12.7,sad,gamer,96.5
50,12,6.5,5.1,neutral,student,38.0
110,8,2.9,8.6,No face detected,gamer,77.0
55,10,4.3,14.4,angry,gamer,90.0
120,11,7.0,11.7,happy,casual,66.5
40,3,6.5,13.6,disgust,professional,59.5
78,4,8.7,3.1,angry,casual,86.0
107,9,10.2,0.9,No face detected,gamer,63.5
77,2,5.1,8.4,No face detected,student,58.0
65,15,4.8,0.9,fear,casual,97.5
118,3,10.8,9.5,No face detected,professional,79.5
53,12,7.2,16.0,surprise,casual,63.0
80,11,9.7,8.3,disgust,professional,76.5
86,8,7.6,14.2,neutral,professional,57.0
52,12,8.7,13.9,surprise,student,58.0
14,13,10.8,6.3,surprise,gamer,79.5
33,3,5.9,15.9,angry,casual,74.5
112,7,4.0,4.7,disgust,student,80.5
27,1,9.2,15.8,happy,professional,61.5
59,15,7.4,3.2,fear,student,62.5
22,13,7.9,6.9,No face detected,professional,69.5
31,14,2.4,14.2,fear,gamer,100.0
10,2,9.4,13.5,angry,professional,100.0
74,6,1.3,2.9,angry,casual,99.0
41,1,1.1,5.1,surprise,casual,61.5
106,0,7.8,11.9,neutral,casual,60.0
67,8,9.8,13.1,disgust,casual,100.0
64,14,5.1,8.5,disgust,gamer,71.0
77,3,7.1,6.3,disgust,professional,44.5
116,4,8.3,9.7,fear,casual,100.0
32,10,1.3,10.5,surprise,gamer,85.0
24,11,7.1,9.0,sad,casual,66.5
113,10,7.2,7.2,disgust,casual,90.0
13,15,6.4,0.5,disgust,gamer,77.5
45,0,1.8,13.0,surprise,student,55.0
94,10,6.1,11.1,angry,gamer,75.0
96,0,4.8,2.3,angry,student,75.0
18,2,1.2,4.6,sad,professional,83.0
91,8,3.3,11.0,sad,casual,100.0
43,12,8.5,5.8,No face detected,gamer,58.0
107,3,4.6,5.6,neutral,gamer,44.5
65,15,4.1,8.3,No face detected,student,77.5
120,6,9.8,10.7,sad,student,99.0
47,2,10.8,13.0,fear,gamer,93.0
50,7,10.1,5.1,sad,professional,70.5
49,14,8.2,5.2,surprise,casual,61.0
51,0,9.5,1.0,neutral,casual,40.0
86,11,3.2,4.9,surprise,student,61.5
14,0,2.1,1.9,disgust,casual,75.0
40,6,6.3,8.1,surprise,casual,34.0
92,2,9.6,4.8,sad,casual,83.0
45,15,8.4,3.4,neutral,student,42.5
74,11,4.2,10.6,fear,casual,100.0
18,14,5.4,13.7,disgust,professional,100.0
110,15,8.9,1.6,No face detected,gamer,62.5
93,8,1.2,14.9,fear,gamer,100.0
47,2,5.9,14.6,sad,student,68.0
15,5,5.9,4.5,neutral,casual,47.5
16,15,3.3,8.9,fear,professional,100.0
99,5,3.2,15.7,fear,casual,100.0
119,5,1.8,4.7,No face detected,gamer,67.5
41,11,3.3,0.6,sad,gamer,81.5
110,2,1.3,13.4,disgust,student,100.0
45,15,9.4,6.6,happy,gamer,57.5
33,8,10.7,14.3,happy,casual,57.0
87,13,6.9,6.4,angry,casual,94.5
71,1,1.0,4.8,sad,casual,96.5
59,11,6.3,11.6,disgust,student,66.5
40,13,10.2,8.7,surprise,gamer,69.5
10,6,6.7,15.0,disgust,professional,89.0
117,0,9.3,6.8,fear,student,90.0
111,9,6.0,10.6,neutral,casual,73.5
12,5,3.7,5.0,fear,professional,92.5
92,10,3.2,10.4,happy,student,80.0
114,2,10.1,15.0,disgust,gamer,98.0
116,14,11.0,6.4,surprise,casual,86.0
84,9,3.7,2.0,disgust,casual,88.5
77,12,5.8,6.3,No face detected,student,68.0
35,5,5.5,10.7,No face detected,gamer,67.5
16,10,7.7,12.7,No face detected,student,75.0
26,14,10.8,7.8,disgust,student,96.0
10,3,2.2,2.7,neutral,professional,64.5
30,7,3.8,10.1,No face detected,professional,75.5
111,15,8.4,7.1,surprise,casual,82.5
41,2,4.3,12.6,fear,casual,93.0
78,8,1.5,11.2,fear,gamer,92.0
33,9,7.9,8.5,No face detected,gamer,63.5
46,8,3.2,15.3,disgust,student,87.0
24,10,5.0,10.3,sad,professional,95.0
21,10,10.0,5.7,angry,professional,100.0
55,14,2.3,1.9,happy,gamer,46.0
32,9,8.3,3.9,neutral,student,33.5
116,5,8.4,13.0,happy,student,67.5
80,1,2.4,11.1,neutral,professional,56.5
71,13,6.9,1.3,sad,professional,49.5
78,9,8.2,7.1,disgust,gamer,63.5
35,8,1.4,7.8,neutral,professional,67.0
115,2,10.3,8.6,disgust,gamer,83.0
105,14,6.4,13.1,neutral,casual,81.0
37,10,4.5,15.9,sad,student,85.0
26,1,8.4,8.4,happy,student,36.5
119,10,7.8,3.0,sad,professional,70.0
26,12,5.4,14.9,No face detected,gamer,93.0
13,6,4.2,1.0,happy,casual,39.0
103,7,1.6,11.0,No face detected,student,95.5
80,1,10.0,1.4,sad,casual,71.5
72,14,3.1,14.0,angry,professional,100.0
75,7,4.0,15.8,fear,gamer,90.5
77,2,9.4,8.6,No face detected,professional,48.0
76,10,6.4,14.5,happy,student,55.0
117,9,1.1,2.7,No face detected,casual,83.5
74,4,9.1,12.4,No face detected,student,76.0
118,10,9.3,8.8,disgust,casual,100.0
63,4,8.1,6.8,angry,professional,61.0
90,7,8.2,7.1,happy,casual,65.5
116,0,5.9,5.9,surprise,student,50.0
114,11,4.4,9.6,sad,casual,100.0
74,5,4.0,0.7,angry,professional,57.5
87,15,7.1,15.4,happy,student,67.5
43,5,10.7,14.0,No face detected,gamer,77.5
46,10,6.5,10.7,sad,student,65.0
94,14,11.0,1.9,fear,professional,96.0
23,13,7.5,10.6,angry,gamer,94.5
68,4,3.0,10.1,fear,gamer,81.0
111,6,7.7,9.2,disgust,casual,89.0
119,1,9.1,4.8,fear,casual,91.5
70,4,2.3,7.2,disgust,student,86.0
67,10,7.5,5.2,happy,student,35.0
113,11,5.9,5.6,fear,student,100.0
67,8,8.5,13.1,happy,gamer,42.0
18,14,6.5,2.4,No face detected,student,56.0
111,1,7.3,14.5,sad,gamer,76.5
13,15,5.8,10.0,angry,professional,100.0
49,4,3.1,7.0,No face detected,student,51.0
112,2,5.6,13.6,fear,gamer,93.0
91,14,4.8,6.4,disgust,casual,100.0
39,10,2.1,3.8,sad,gamer,90.0
62,6,5.5,5.4,angry,casual,89.0
81,1,8.2,6.4,happy,casual,51.5
99,8,7.5,11.1,disgust,student,87.0
43,15,10.2,12.7,No face detected,student,82.5
92,2,6.9,12.2,fear,professional,78.0
35,9,9.3,13.8,neutral,professional,73.5
43,13,5.6,5.6,fear,student,79.5
117,6,3.5,5.6,happy,professional,64.0
51,7,9.6,4.7,surprise,professional,30.5
64,8,8.4,13.7,sad,casual,97.0
28,15,2.2,2.1,surprise,casual,57.5
11,13,4.4,12.9,surprise,student,89.5
107,3,4.3,4.4,surprise,gamer,39.5
24,5,7.0,1.7,happy,student,22.5
34,3,2.5,12.1,disgust,gamer,100.0
10,9,2.8,9.1,fear,student,100.0
47,9,7.0,6.3,disgust,professional,53.5
116,12,7.0,15.4,disgust,gamer,93.0
119,7,9.1,1.8,angry,casual,85.5
14,4,2.7,3.6,happy,professional,56.0
83,3,4.1,4.1,sad,professional,59.5
38,8,1.3,1.9,No face detected,student,52.0
95,10,5.4,8.6,No face detected,student,80.0
61,14,9.2,1.8,No face detected,professional,51.0
104,5,6.0,8.4,angry,student,82.5
118,11,3.3,3.9,surprise,gamer,61.5
46,7,8.3,13.3,No face detected,professional,60.5
21,14,2.4,5.7,happy,gamer,71.0
44,9,5.8,11.7,fear,casual,98.5
87,8,1.2,11.9,No face detected,gamer,67.0
88,7,9.1,9.7,sad,casual,100.0
107,5,7.3,11.9,No face detected,gamer,52.5
18,9,1.5,11.6,happy,professional,83.5
31,14,4.3,13.3,sad,student,91.0
78,9,9.0,13.4,neutral,professional,58.5
95,6,5.0,6.8,No face detected,student,69.0
10,0,1.4,3.2,neutral,student,60.0
12,10,9.2,9.7,angry,professional,100.0
97,9,3.2,4.6,angry,casual,100.0
12,2,3.9,14.5,surprise,gamer,78.0
41,1,6.6,2.6,angry,student,36.5
71,12,7.8,11.9,sad,professional,68.0
39,1,3.1,9.9,angry,student,71.5
45,3,6.1,8.4,neutral,professional,29.5
78,0,7.3,11.2,angry,professional,55.0
24,7,2.9,2.9,fear,gamer,100.0
100,2,3.2,12.6,No face detected,casual,88.0
75,3,1.1,13.7,disgust,casual,100.0
112,9,2.8,7.0,neutral,casual,93.5
109,11,1.4,8.3,neutral,professional,86.5
97,4,8.8,11.8,surprise,gamer,46.0
77,0,5.8,6.7,neutral,casual,60.0
52,6,2.0,11.2,happy,student,54.0
89,13,5.2,12.0,fear,professional,99.5
23,14,2.7,1.2,sad,casual,81.0
60,13,6.1,12.8,fear,gamer,79.5
67,12,9.3,4.1,angry,professional,68.0
27,15,10.3,8.6,surprise,student,72.5
113,9,5.1,6.8,happy,gamer,53.5
60,1,10.0,7.3,fear,professional,66.5
21,2,6.9,7.1,sad,student,63.0
48,12,3.7,1.5,angry,casual,83.0
86,2,1.6,15.1,surprise,student,78.0
51,11,3.1,3.7,sad,casual,91.5
68,3,7.1,10.2,neutral,gamer,29.5
91,11,10.6,12.7,fear,student,100.0
13,3,8.9,9.8,disgust,gamer,84.5
66,10,6.3,3.9,No face detected,casual,60.0
34,3,7.2,11.4,happy,casual,29.5
101,8,5.1,11.9,No face detected,student,82.0
64,3,3.7,7.7,surprise,casual,69.5
70,8,7.7,7.0,sad,professional,52.0
16,9,3.8,7.5,surprise,student,73.5
111,1,1.3,15.2,angry,professional,100.0
28,11,8.4,13.5,disgust,professional,100.0
76,10,3.1,13.1,happy,casual,85.0
38,6,1.6,5.7,disgust,gamer,84.0
74,3,7.7,10.8,happy,casual,54.5
83,14,7.1,3.6,happy,casual,56.0
118,4,6.7,15.6,disgust,casual,86.0
72,11,5.0,3.3,angry,gamer,61.5
82,3,7.4,1.9,No face detected,casual,44.5
58,11,9.3,3.1,angry,gamer,66.5
49,6,9.1,6.3,surprise,casual,54.0
95,15,4.7,9.1,fear,student,100.0
32,9,3.5,7.3,angry,professional,93.5
75,2,10.2,9.3,sad,casual,100.0
14,13,7.2,7.4,sad,professional,84.5
45,14,8.1,1.5,angry,gamer,76.0
40,3,5.1,6.0,neutral,student,34.5
84,11,10.3,15.1,fear,gamer,100.0
100,13,2.5,5.5,angry,professional,100.0
19,12,6.2,6.1,fear,professional,93.0
115,7,5.3,10.2,surprise,student,70.5
76,0,4.8,6.7,happy,casual,55.0
113,15,4.4,15.7,disgust,casual,100.0
108,9,6.6,12.4,neutral,student,73.5
71,13,2.1,7.2,happy,student,74.5
64,5,5.3,11.1,angry,casual,97.5
76,1,9.0,0.7,surprise,student,31.5
101,14,4.7,11.0,angry,professional,100.0
99,0,5.9,10.4,neutral,professional,50.0
17,4,5.2,3.9,happy,casual,36.0
98,10,5.0,1.2,disgust,casual,80.0
43,12,4.1,11.2,neutral,professional,63.0
60,0,4.3,14.7,angry,gamer,75.0
84,10,5.5,3.9,sad,professional,65.0
50,4,10.2,6.4,fear,casual,91.0
50,14,7.7,13.6,angry,gamer,76.0
42,7,7.5,9.5,surprise,casual,50.5
117,12,6.2,3.7,surprise,casual,58.0
108,10,9.1,2.7,neutral,student,65.0
18,12,7.5,12.4,angry,gamer,98.0
63,14,6.6,8.0,happy,gamer,31.0
79,14,11.0,9.2,disgust,professional,86.0
101,5,6.4,15.6,No face detected,professional,67.5
66,11,10.5,4.1,No face detected,casual,81.5
82,8,2.8,9.2,fear,professional,100.0
110,9,5.6,3.5,neutral,gamer,48.5
107,2,2.1,9.7,sad,gamer,88.0
60,14,9.6,14.4,sad,professional,91.0
86,8,10.2,9.4,surprise,professional,62.0
105,4,9.6,10.6,sad,professional,86.0
96,15,4.5,13.1,fear,student,100.0
17,14,8.9,10.2,neutral,gamer,81.0
39,10,10.4,15.5,fear,gamer,100.0
59,12,3.6,10.1,fear,gamer,93.0
105,15,6.2,11.5,No face detected,student,82.5
113,14,8.5,10.6,disgust,professional,100.0
30,0,9.7,11.7,sad,student,65.0
27,14,7.8,7.9,sad,casual,71.0
119,0,1.3,10.7,happy,gamer,60.0
37,0,7.5,11.4,happy,student,20.0
28,7,9.8,2.5,disgust,student,65.5
54,14,9.6,0.9,fear,professional,76.0
98,0,10.3,12.4,fear,student,100.0
101,0,10.8,10.0,happy,student,60.0
112,14,6.8,8.2,surprise,professional,66.0
48,12,9.5,7.7,disgust,casual,93.0
41,7,2.7,14.5,angry,student,95.5
119,8,8.4,13.5,No face detected,casual,87.0
113,0,8.9,5.1,disgust,casual,80.0
93,7,5.5,14.4,No face detected,casual,85.5
98,1,3.9,9.1,angry,casual,100.0
68,2,4.2,13.5,surprise,gamer,43.0
36,12,10.2,5.4,angry,gamer,93.0
69,5,4.4,4.4,sad,gamer,52.5
85,14,2.0,4.9,fear,professional,96.0
75,3,10.8,4.7,No face detected,gamer,39.5
53,10,10.8,0.9,neutral,gamer,45.0
60,13,7.3,5.6,happy,student,29.5
95,12,4.7,15.1,fear,gamer,100.0
54,7,9.5,10.7,No face detected,professional,55.5
114,2,3.8,3.6,fear,professional,88.0
108,14,6.3,6.2,neutral,gamer,56.0
91,14,10.5,6.4,surprise,gamer,66.0
41,3,6.3,10.1,fear,student,64.5
118,8,5.5,14.0,sad,gamer,92.0
78,5,3.4,1.3,happy,professional,27.5
68,3,3.7,1.5,No face detected,gamer,39.5
88,9,9.2,3.6,No face detected,student,63.5
91,1,3.6,2.0,surprise,gamer,36.5
54,0,9.8,9.8,disgust,student,60.0
17,1,5.0,0.6,surprise,gamer,41.5
112,15,2.4,2.3,neutral,student,82.5
62,4,5.9,0.7,surprise,casual,41.0
25,5,4.6,6.5,disgust,student,72.5
33,14,3.5,11.5,sad,student,91.0
36,13,6.4,9.4,disgust,gamer,84.5
73,9,9.3,4.5,angry,professional,63.5
95,2,10.8,2.6,angry,student,83.0
98,0,3.8,7.4,No face detected,casual,80.0
63,15,9.1,3.5,happy,professional,37.5
96,0,5.4,12.9,No face detected,casual,75.0
35,11,9.7,1.6,happy,gamer,51.5
36,8,1.0,0.8,fear,professional,87.0
109,2,8.4,7.7,happy,student,53.0
25,1,4.4,8.9,sad,student,71.5
32,15,7.7,9.3,No face detected,student,52.5
26,7,9.9,13.5,disgust,professional,100.0
17,9,4.2,15.4,sad,gamer,100.0
20,5,4.2,12.0,surprise,casual,52.5
113,13,10.3,1.2,happy,casual,64.5
71,10,9.3,5.5,surprise,gamer,35.0
33,1,9.3,9.4,No face detected,professional,61.5
65,12,4.7,1.4,sad,professional,63.0
115,0,1.4,14.7,No face detected,casual,95.0
41,15,9.1,7.6,fear,professional,87.5
64,0,2.2,4.1,disgust,professional,55.0
104,6,6.1,14.5,sad,student,89.0
83,14,6.2,5.2,sad,student,81.0
26,4,2.2,3.1,happy,gamer,56.0
64,5,4.6,9.1,neutral,gamer,47.5
107,14,8.9,6.3,neutral,casual,81.0
30,15,8.3,10.2,angry,gamer,100.0
89,14,10.7,7.1,fear,student,100.0
37,14,1.1,1.3,neutral,student,56.0
59,9,9.9,7.3,No face detected,gamer,53.5
99,14,1.2,2.2,No face detected,professional,76.0
69,12,10.9,13.8,disgust,student,100.0
79,4,10.0,7.9,sad,casual,96.0
119,1,8.6,12.8,fear,professional,96.5
106,9,9.6,2.2,disgust,casual,83.5
59,13,3.3,8.7,angry,professional,89.5
84,3,4.7,7.3,happy,student,54.5
12,4,3.9,1.8,sad,student,81.0
55,9,2.6,6.2,disgust,gamer,78.5
69,1,8.9,7.8,No face detected,professional,36.5
61,11,1.5,2.3,disgust,casual,96.5
89,3,3.0,6.2,neutral,gamer,44.5
31,1,5.7,9.8,disgust,gamer,81.5
80,1,8.3,12.2,sad,casual,91.5
30,8,4.4,7.6,sad,gamer,92.0
53,12,8.2,1.3,surprise,student,33.0
10,11,2.9,11.2,disgust,student,100.0
22,8,8.0,15.7,angry,gamer,97.0
31,14,10.1,3.7,surprise,casual,56.0
33,13,5.3,0.8,sad,casual,59.5
89,9,7.2,7.3,surprise,student,53.5
83,6,8.7,8.6,happy,student,54.0
93,6,3.3,8.9,angry,casual,100.0
118,7,3.1,8.8,No face detected,casual,90.5
56,4,1.0,9.8,angry,professional,81.0
63,14,5.3,13.2,No face detected,professional,71.0
102,3,8.1,13.7,sad,casual,94.5
42,2,3.1,3.1,happy,student,23.0
29,4,7.7,12.8,disgust,student,71.0
115,9,9.5,13.5,surprise,gamer,73.5
79,2,9.3,2.6,surprise,professional,23.0
33,2,1.7,11.2,sad,professional,93.0
62,8,6.7,10.8,No face detected,student,57.0
50,10,10.6,1.3,angry,professional,70.0
54,15,7.6,7.4,sad,gamer,62.5
28,2,10.5,13.5,angry,professional,100.0
96,7,1.3,9.7,surprise,professional,70.5
63,4,8.6,6.4,No face detected,casual,66.0
64,10,9.9,4.5,angry,casual,95.0
28,4,1.4,6.6,surprise,professional,66.0
84,10,9.2,15.8,happy,gamer,55.0
51,8,8.0,6.0,No face detected,casual,57.0
66,14,9.8,3.6,fear,professional,76.0
54,2,6.3,14.7,sad,gamer,58.0
58,9,8.1,3.6,sad,gamer,53.5
69,6,9.9,12.2,happy,student,59.0
59,11,1.4,15.0,angry,professional,100.0
19,15,2.5,3.9,No face detected,professional,87.5
58,0,6.5,11.0,No face detected,professional,30.0
22,12,9.4,5.0,neutral,casual,53.0
102,11,1.6,10.8,surprise,gamer,76.5
28,15,10.4,12.5,surprise,gamer,92.5
115,1,6.1,9.6,surprise,professional,46.5
64,4,9.4,5.2,surprise,professional,36.0
38,0,3.4,11.1,angry,casual,80.0
18,2,4.3,1.6,sad,student,68.0
22,3,5.8,12.2,sad,student,84.5
53,2,6.0,2.4,fear,professional,43.0
40,0,10.1,7.5,happy,student,35.0
71,1,9.2,1.5,neutral,student,41.5
35,14,10.2,4.5,angry,gamer,96.0
100,14,2.8,2.6,angry,student,100.0
15,12,2.8,8.2,No face detected,casual,93.0
115,11,6.2,3.6,sad,gamer,66.5
110,2,7.8,13.2,No face detected,professional,63.0
29,0,2.5,5.2,No face detected,casual,60.0
52,15,2.7,5.2,No face detected,student,72.5
115,5,4.6,0.6,No face detected,gamer,57.5
18,6,4.8,10.4,neutral,professional,74.0
101,7,7.0,1.6,angry,student,70.5
70,15,1.2,11.8,No face detected,student,92.5
15,15,3.9,0.9,angry,gamer,100.0
75,10,10.5,6.6,No face detected,casual,90.0
35,5,7.3,3.6,surprise,gamer,32.5
37,14,6.8,13.6,angry,casual,81.0
109,10,9.8,1.1,happy,casual,55.0
94,10,2.6,12.2,No face detected,professional,90.0
72,9,1.9,7.5,fear,casual,100.0
53,0,1.8,9.9,angry,casual,100.0
117,0,7.2,6.5,surprise,gamer,35.0
54,9,8.1,2.7,sad,professional,53.5
21,0,5.1,9.7,neutral,gamer,60.0
42,15,3.6,3.7,happy,professional,42.5
55,8,4.9,12.8,angry,gamer,82.0
65,6,8.3,14.9,happy,gamer,44.0
94,10,8.7,3.9,disgust,gamer,65.0
37,7,6.9,8.6,sad,professional,65.5
24,10,7.1,14.0,happy,gamer,60.0
72,10,9.2,6.7,disgust,casual,100.0
81,8,1.5,6.1,happy,casual,82.0
82,7,9.3,7.1,disgust,gamer,65.5
64,6,3.8,13.1,disgust,professional,84.0
118,4,7.6,14.0,disgust,casual,86.0
96,12,6.0,4.9,surprise,casual,58.0
21,11,10.8,1.9,happy,student,51.5
59,7,3.1,11.3,angry,casual,100.0
10,4,10.8,13.9,angry,student,100.0
63,3,7.3,13.8,sad,student,69.5
89,9,1.6,14.2,fear,professional,100.0
72,12,5.4,3.2,angry,student,78.0
85,6,9.7,2.1,No face detected,gamer,39.0
79,2,1.6,10.1,happy,student,63.0
116,2,4.2,8.3,happy,professional,58.0
22,7,10.9,15.1,happy,student,70.5
60,11,7.8,5.8,sad,casual,76.5
13,4,7.6,10.3,fear,casual,86.0
77,10,6.9,11.5,fear,student,90.0
117,4,4.5,5.5,happy,gamer,41.0
114,6,8.7,14.9,surprise,gamer,69.0
107,7,8.6,14.2,sad,gamer,90.5
120,7,6.5,1.0,happy,gamer,30.5
70,15,1.6,11.2,neutral,gamer,72.5
82,8,5.2,3.7,disgust,professional,62.0
69,7,2.0,13.2,sad,student,100.0
71,4,3.7,12.9,happy,casual,76.0
84,6,8.0,5.8,fear,gamer,49.0
13,9,10.4,9.6,angry,professional,100.0
76,8,10.5,12.8,happy,gamer,52.0
92,15,6.2,15.1,sad,gamer,87.5
120,2,4.9,2.5,surprise,professional,48.0
35,0,7.1,1.2,disgust,professional,40.0
18,4,9.8,1.8,neutral,casual,41.0
92,8,4.9,2.8,disgust,gamer,67.0
113,5,7.4,12.3,surprise,professional,57.5
24,0,9.2,4.3,angry,professional,75.0
112,9,3.6,3.2,surprise,gamer,58.5
119,2,8.7,3.1,angry,casual,83.0
55,4,4.0,11.6,sad,student,71.0
35,11,7.5,2.9,No face detected,student,31.5
46,14,4.4,4.3,disgust,professional,66.0
44,6,3.9,3.3,neutral,professional,39.0
118,5,1.4,11.5,neutral,gamer,77.5
13,3,7.9,15.6,neutral,student,64.5
67,4,9.5,2.2,neutral,student,41.0
65,6,7.5,10.5,neutral,casual,64.0
106,0,7.2,11.6,surprise,casual,55.0
78,7,2.3,11.0,sad,gamer,80.5
39,6,10.7,7.1,sad,student,74.0
62,3,3.5,0.9,disgust,student,64.5
35,9,8.3,6.0,angry,gamer,78.5
43,4,10.8,10.2,happy,gamer,56.0
54,8,1.2,1.1,happy,casual,57.0
118,13,2.3,6.7,No face detected,student,94.5
71,15,3.6,10.1,surprise,casual,97.5
72,14,1.2,6.0,neutral,professional,66.0
77,3,2.7,6.0,angry,casual,100.0
101,0,3.0,7.6,neutral,casual,75.0
106,1,7.3,2.3,neutral,student,36.5
43,14,8.2,11.9,sad,casual,96.0
26,7,6.2,5.1,No face detected,student,45.5
71,15,10.9,13.4,sad,student,100.0
59,11,7.7,8.3,disgust,casual,81.5
19,2,9.3,6.4,happy,casual,43.0
72,12,5.8,8.5,surprise,casual,78.0
49,15,9.7,2.0,disgust,gamer,77.5
48,4,1.0,5.0,surprise,student,36.0
88,6,7.8,15.3,angry,professional,79.0
114,4,10.9,1.3,disgust,gamer,76.0
89,12,6.5,3.2,surprise,student,43.0
16,14,1.9,13.3,neutral,professional,100.0
17,10,6.4,4.9,fear,professional,80.0
91,6,9.4,13.5,angry,casual,100.0
89,7,7.0,10.9,angry,professional,70.5
99,9,4.6,15.7,No face detected,casual,93.5
14,5,4.7,7.5,surprise,student,67.5
111,4,4.6,11.5,surprise,gamer,61.0
43,3,2.0,15.8,angry,casual,100.0
116,3,6.8,2.5,No face detected,gamer,39.5
106,3,2.9,2.0,neutral,professional,59.5
66,4,7.7,7.0,happy,student,26.0
23,9,2.8,13.6,happy,gamer,83.5
99,4,9.3,10.6,neutral,student,76.0
117,5,2.7,13.1,sad,gamer,100.0
17,1,10.2,15.2,neutral,casual,66.5
27,2,2.9,8.1,angry,student,88.0
28,1,1.3,9.0,No face detected,professional,76.5
31,11,9.0,7.0,neutral,gamer,71.5
64,6,5.7,9.0,happy,student,44.0
12,7,1.2,14.4,angry,casual,100.0
34,6,1.1,2.1,angry,student,69.0
18,5,10.1,8.6,No face detected,student,77.5
108,10,2.7,1.9,angry,casual,100.0
81,5,10.4,6.5,happy,gamer,37.5
119,9,8.6,5.1,No face detected,professional,73.5
71,1,10.5,14.6,neutral,casual,81.5
52,5,8.0,12.3,happy,professional,27.5
112,9,2.0,9.5,No face detected,professional,93.5
108,9,6.6,3.0,sad,student,68.5
100,4,3.2,1.7,surprise,gamer,41.0
86,4,4.2,7.9,sad,casual,96.0
74,13,5.5,14.7,No face detected,casual,94.5
72,6,11.0,13.6,disgust,student,99.0
76,3,6.0,13.1,neutral,casual,64.5
79,5,9.7,3.4,sad,casual,87.5
13,5,8.0,13.4,No face detected,gamer,67.5
99,2,7.2,15.7,No face detected,gamer,53.0
36,2,5.6,7.6,disgust,casual,63.0
21,0,7.6,14.4,neutral,student,50.0
50,7,3.5,15.6,fear,gamer,95.5
75,2,2.6,6.3,happy,professional,38.0
31,14,4.3,7.7,sad,casual,86.0
48,4,9.6,1.1,happy,student,21.0
53,2,8.0,11.9,happy,gamer,18.0
67,4,8.3,10.2,fear,professional,71.0
80,10,8.5,6.9,happy,casual,65.0
74,5,4.0,15.2,angry,gamer,82.5
69,15,6.4,11.4,No face detected,professional,57.5
81,10,10.2,15.7,happy,casual,85.0
102,9,2.7,7.8,sad,casual,100.0
71,10,10.8,13.5,sad,professional,90.0
59,7,9.9,8.9,surprise,casual,65.5
112,2,5.1,9.5,disgust,student,83.0
94,4,6.4,11.4,angry,student,86.0
30,9,3.2,10.4,disgust,student,83.5
60,7,4.2,5.6,neutral,casual,65.5
34,9,10.2,6.9,neutral,student,53.5
71,11,2.4,1.0,fear,professional,81.5
24,0,10.6,10.3,fear,student,95.0
30,14,9.2,11.0,neutral,student,66.0
34,10,1.7,5.2,fear,student,90.0
44,12,7.3,8.7,No face detected,professional,48.0
16,9,5.6,5.7,angry,casual,83.5
62,2,1.3,4.8,happy,gamer,28.0
27,15,6.5,7.7,fear,gamer,97.5
26,1,6.6,9.3,surprise,gamer,46.5
55,10,6.5,10.8,sad,casual,85.0
46,0,3.5,2.2,fear,student,60.0
99,11,8.0,7.0,angry,student,86.5
65,6,8.2,2.0,No face detected,student,44.0
33,7,5.8,0.8,neutral,professional,45.5
116,11,8.7,12.4,fear,gamer,100.0
31,8,7.2,10.1,sad,professional,72.0
99,4,9.2,14.0,surprise,gamer,56.0
31,15,10.1,4.0,disgust,casual,82.5
89,12,2.0,2.7,happy,gamer,43.0
15,9,10.2,5.0,sad,gamer,88.5
97,3,5.4,4.5,surprise,gamer,29.5
101,12,5.6,14.6,No face detected,student,93.0
23,4,10.7,14.5,surprise,casual,56.0
87,0,10.3,8.9,happy,casual,65.0
59,15,8.5,6.2,neutral,professional,52.5
82,4,10.3,9.1,No face detected,student,76.0
104,9,1.4,4.8,neutral,gamer,63.5
94,5,1.4,4.8,fear,student,97.5
63,0,5.3,3.3,sad,student,50.0
44,7,7.6,10.2,surprise,professional,30.5
35,3,7.6,6.4,No face detected,gamer,49.5
66,0,8.0,15.1,disgust,student,65.0
34,14,9.6,9.0,surprise,gamer,76.0
14,6,7.7,15.4,angry,professional,94.0
74,1,9.4,4.8,disgust,gamer,46.5
111,4,8.8,15.4,neutral,gamer,71.0
44,15,4.2,4.0,neutral,gamer,62.5
42,1,5.2,4.8,disgust,student,41.5
